m,TagName,
"2010-12-01 00:00:00","javascript","4948"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5337"
"2010-12-01 00:00:00","python","2471"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1020"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7971"
"2011-01-01 00:00:00","c++","3481"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6520"
"2011-01-01 00:00:00","javascript","5412"
"2011-01-01 00:00:00","perl","473"
"2011-01-01 00:00:00","php","6366"
"2011-01-01 00:00:00","python","2895"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1631"
"2011-02-01 00:00:00","c#","8197"
"2011-02-01 00:00:00","c++","3432"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6845"
"2011-02-01 00:00:00","javascript","5591"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6661"
"2011-02-01 00:00:00","python","3002"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c","2109"
"2011-03-01 00:00:00","c#","9962"
"2011-03-01 00:00:00","c++","4164"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8445"
"2011-03-01 00:00:00","javascript","6747"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8039"
"2011-03-01 00:00:00","python","3739"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1635"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2032"
"2011-04-01 00:00:00","c#","9247"
"2011-04-01 00:00:00","c++","4156"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7878"
"2011-04-01 00:00:00","javascript","6869"
"2011-04-01 00:00:00","perl","549"
"2011-04-01 00:00:00","php","7559"
"2011-04-01 00:00:00","python","3320"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1824"
"2011-05-01 00:00:00","c#","9960"
"2011-05-01 00:00:00","c++","3860"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8515"
"2011-05-01 00:00:00","javascript","7287"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8033"
"2011-05-01 00:00:00","python","3508"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1562"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1759"
"2011-06-01 00:00:00","c#","9707"
"2011-06-01 00:00:00","c++","3794"
"2011-06-01 00:00:00","delphi","452"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7855"
"2011-06-01 00:00:00","javascript","7655"
"2011-06-01 00:00:00","perl","566"
"2011-06-01 00:00:00","php","7984"
"2011-06-01 00:00:00","python","3457"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1553"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c","1655"
"2011-07-01 00:00:00","c#","9551"
"2011-07-01 00:00:00","c++","3838"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8117"
"2011-07-01 00:00:00","javascript","8072"
"2011-07-01 00:00:00","perl","657"
"2011-07-01 00:00:00","php","8586"
"2011-07-01 00:00:00","python","3644"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1576"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1825"
"2011-08-01 00:00:00","c#","9996"
"2011-08-01 00:00:00","c++","3942"
"2011-08-01 00:00:00","delphi","420"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8621"
"2011-08-01 00:00:00","javascript","8860"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","php","8835"
"2011-08-01 00:00:00","python","3812"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1913"
"2011-09-01 00:00:00","c#","9228"
"2011-09-01 00:00:00","c++","3924"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8271"
"2011-09-01 00:00:00","javascript","8127"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7980"
"2011-09-01 00:00:00","python","3502"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2136"
"2011-10-01 00:00:00","c#","9143"
"2011-10-01 00:00:00","c++","4325"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8489"
"2011-10-01 00:00:00","javascript","7969"
"2011-10-01 00:00:00","perl","554"
"2011-10-01 00:00:00","php","7967"
"2011-10-01 00:00:00","python","3597"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1599"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2194"
"2011-11-01 00:00:00","c#","9830"
"2011-11-01 00:00:00","c++","4445"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9560"
"2011-11-01 00:00:00","javascript","8587"
"2011-11-01 00:00:00","perl","602"
"2011-11-01 00:00:00","php","8583"
"2011-11-01 00:00:00","python","3850"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1729"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","227"
"2011-12-01 00:00:00","c","1996"
"2011-12-01 00:00:00","c#","9237"
"2011-12-01 00:00:00","c++","4324"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9102"
"2011-12-01 00:00:00","javascript","8258"
"2011-12-01 00:00:00","perl","536"
"2011-12-01 00:00:00","php","8257"
"2011-12-01 00:00:00","python","3602"
"2011-12-01 00:00:00","r","612"
"2011-12-01 00:00:00","ruby","1664"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2211"
"2012-01-01 00:00:00","c#","10301"
"2012-01-01 00:00:00","c++","4510"
"2012-01-01 00:00:00","delphi","508"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10043"
"2012-01-01 00:00:00","javascript","9518"
"2012-01-01 00:00:00","perl","559"
"2012-01-01 00:00:00","php","9160"
"2012-01-01 00:00:00","python","4169"
"2012-01-01 00:00:00","r","689"
"2012-01-01 00:00:00","ruby","1880"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c","2390"
"2012-02-01 00:00:00","c#","10654"
"2012-02-01 00:00:00","c++","5067"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10844"
"2012-02-01 00:00:00","javascript","9880"
"2012-02-01 00:00:00","perl","611"
"2012-02-01 00:00:00","php","9789"
"2012-02-01 00:00:00","python","4470"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2702"
"2012-03-01 00:00:00","c#","11456"
"2012-03-01 00:00:00","c++","5182"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12244"
"2012-03-01 00:00:00","javascript","10598"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10738"
"2012-03-01 00:00:00","python","4992"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2656"
"2012-04-01 00:00:00","c#","10965"
"2012-04-01 00:00:00","c++","5256"
"2012-04-01 00:00:00","delphi","480"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11884"
"2012-04-01 00:00:00","javascript","10554"
"2012-04-01 00:00:00","perl","596"
"2012-04-01 00:00:00","php","10236"
"2012-04-01 00:00:00","python","4878"
"2012-04-01 00:00:00","r","836"
"2012-04-01 00:00:00","ruby","1947"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","225"
"2012-05-01 00:00:00","c","2457"
"2012-05-01 00:00:00","c#","11393"
"2012-05-01 00:00:00","c++","4934"
"2012-05-01 00:00:00","delphi","474"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12028"
"2012-05-01 00:00:00","javascript","11382"
"2012-05-01 00:00:00","perl","640"
"2012-05-01 00:00:00","php","10783"
"2012-05-01 00:00:00","python","5041"
"2012-05-01 00:00:00","r","869"
"2012-05-01 00:00:00","ruby","1950"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","199"
"2012-06-01 00:00:00","c","2293"
"2012-06-01 00:00:00","c#","11217"
"2012-06-01 00:00:00","c++","4603"
"2012-06-01 00:00:00","delphi","415"
"2012-06-01 00:00:00","go","71"
"2012-06-01 00:00:00","java","10985"
"2012-06-01 00:00:00","javascript","11132"
"2012-06-01 00:00:00","perl","738"
"2012-06-01 00:00:00","php","10434"
"2012-06-01 00:00:00","python","5225"
"2012-06-01 00:00:00","r","965"
"2012-06-01 00:00:00","ruby","1878"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","200"
"2012-07-01 00:00:00","c","2354"
"2012-07-01 00:00:00","c#","12215"
"2012-07-01 00:00:00","c++","5238"
"2012-07-01 00:00:00","delphi","435"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12156"
"2012-07-01 00:00:00","javascript","12238"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11607"
"2012-07-01 00:00:00","python","5698"
"2012-07-01 00:00:00","r","1110"
"2012-07-01 00:00:00","ruby","2055"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2308"
"2012-08-01 00:00:00","c#","11892"
"2012-08-01 00:00:00","c++","5134"
"2012-08-01 00:00:00","delphi","402"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12187"
"2012-08-01 00:00:00","javascript","12373"
"2012-08-01 00:00:00","perl","760"
"2012-08-01 00:00:00","php","11793"
"2012-08-01 00:00:00","python","5845"
"2012-08-01 00:00:00","r","1084"
"2012-08-01 00:00:00","ruby","2052"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","c","2519"
"2012-09-01 00:00:00","c#","11220"
"2012-09-01 00:00:00","c++","4879"
"2012-09-01 00:00:00","delphi","383"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11544"
"2012-09-01 00:00:00","javascript","11120"
"2012-09-01 00:00:00","perl","661"
"2012-09-01 00:00:00","php","10896"
"2012-09-01 00:00:00","python","5231"
"2012-09-01 00:00:00","r","1056"
"2012-09-01 00:00:00","ruby","1952"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3144"
"2012-10-01 00:00:00","c#","12657"
"2012-10-01 00:00:00","c++","5887"
"2012-10-01 00:00:00","delphi","475"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13406"
"2012-10-01 00:00:00","javascript","12353"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11671"
"2012-10-01 00:00:00","python","6114"
"2012-10-01 00:00:00","r","1263"
